Tweet_Length,Tweet_Date,UserName,Full_Tweets,Tweet_Links,at_word,Mention_Count
140,2023-02-01 08:42:03+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken fe,https://t.co/2cHpPN5rBX,rushrw7,1
140,2023-02-01 08:35:34+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicke,https://t.co/rsDizSseZH,NoMore_Soon,1
140,2023-02-01 08:33:38+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken fee,https://t.co/9mIgMQbAdD,b66165,1
140,2023-02-01 08:31:08+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent ne,https://t.co/V415emYLnQ,MrKartoom,1
140,2023-02-01 08:21:18+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chick,https://t.co/donX3LOm0h,averylbrooks,1
140,2023-02-01 08:18:00+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/dGHvdtRy7Z,ericgal21507517,1
140,2023-02-01 08:16:03+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chick,https://t.co/vREocB103E,MNStormAhead,1
140,2023-02-01 08:11:36+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recen,https://t.co/NYURS6KIRJ,FreeAtLastTX1,1
140,2023-02-01 08:04:47+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken f,https://t.co/A65Sx8CBs0,TarotKat,1
140,2023-02-01 08:03:59+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chick,https://t.co/JdshxUPMAl,ToddReed8265,1
140,2023-02-01 08:03:10+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/FQhCOcgMDe,KJames9999,1
140,2023-02-01 08:02:13+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken f,https://t.co/g43OV62m6l,SheaBow1,1
140,2023-02-01 08:00:34+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/iIVvU0HoE2,samturner7764,1
140,2023-02-01 07:58:14+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent,https://t.co/BGKc5s0anQ,j035ich5pach,1
140,2023-02-01 07:57:39+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in rec,https://t.co/ElZFnh3jm8,ConservativeJe7,1
140,2023-02-01 07:42:27+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/rWNWOwHvWk,LisaC53368802,1
140,2023-02-01 07:40:17+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/2HwzrTCdUO,HenryBack2Play,1
140,2023-02-01 07:39:45+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicke,https://t.co/x6eW0nJA1I,TXEDEXPOSED,1
140,2023-02-01 07:38:54+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/AHkRwZtXKE,Sarah66404654,1
140,2023-02-01 07:24:13+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chick,https://t.co/m7fiFKv8su,BufodJustice,1
140,2023-02-01 07:18:58+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/dJlVKF58Er,JohnTie35349401,1
140,2023-02-01 06:55:27+00:00,Purina, hi  nestle purina petcare company does not make chicken or horse feed  only dog and cat products  pu,https://t.co/c9GCF3rcpg,Marie23550502,1
139,2023-02-01 06:37:10+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/jTF9RkTMb0,Ewetopian,1
140,2023-02-01 06:28:17+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/JzckAhqEaU,NYCMediaMonitor,1
140,2023-02-01 06:22:30+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicke,https://t.co/9aaE1dJY0J,MrMadMagnus,1
140,2023-02-01 06:17:23+00:00,Purina, hi  nestle purina petcare company does not make chicken feed  only dog and cat products  purina an,https://t.co/aet2XPkOth,Poppy_Bonaparte,1
140,2023-02-01 06:11:09+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in rece,https://t.co/YiR6fnOb6v,Ryan_TreeFiddy,1
140,2023-02-01 06:10:23+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/g5lW9DmEux,RoxyCoco09,1
140,2023-02-01 06:09:55+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken f,https://t.co/ka4tkQH46m,jshea794,1
140,2023-02-01 06:01:31+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/JRSpjImRll,DrStankyPanky,1
140,2023-02-01 05:55:50+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/PrkGs4MVV1,CarmiOnTheVerge,1
140,2023-02-01 05:52:19+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken f,https://t.co/F9WSRBkCCF,kasinini,1
140,2023-02-01 05:51:22+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chic,https://t.co/x2sQVYEdH2,mr_hot_coffee,1
139,2023-02-01 05:48:51+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/65DJeQqdGP,smiths117,1
139,2023-02-01 05:47:12+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent news,https://t.co/AqSGHUv7T7,og_BYU,1
140,2023-02-01 05:43:20+00:00,Purina, hi  please know that the purina tagged here  nestle purina petcare company  does not make the chic,https://t.co/3rPG1RsZ98,KitSmithLintner,1
140,2023-02-01 05:42:30+00:00,Purina, hi  please know that the purina tagged here  nestle purina petcare company  does not make the chicke,https://t.co/B3egPF3i0q,sslwolfgang65,1
140,2023-02-01 05:40:11+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/CAb7XvWG5h,IliadIndustries,1
140,2023-02-01 05:39:45+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicke,https://t.co/tzUf292cIj,mini_lexiii,1
140,2023-02-01 05:37:13+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/RqE67mZyZo,JohnTie35349401,1
139,2023-02-01 05:27:55+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in recent,https://t.co/Kzv4agW9fj,UCustomizer,1
140,2023-02-01 05:26:46+00:00,Purina, hi  we  nestle purina petcare company  do not make the chicken feed that has been mentioned in rece,https://t.co/fvophq9mF1,physicsheretic,1
139,2023-02-01 05:25:40+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/gkBGolkPfW,iMajorJoe,1
140,2023-02-01 05:14:37+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chicken,https://t.co/893Os5mCKq,IKDM_plays,1
140,2023-02-01 05:06:26+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the ch,https://t.co/UMRiI1oL1r,stoked_on_earth,1
140,2023-02-01 05:05:33+00:00,Purina, hi  please know that the purina tag used here  nestle purina petcare company  does not make the chi,https://t.co/TkXTdmhcu1,Robert52927455,1
140,2023-02-01 04:55:57+00:00,Purina, hi  please know that the purina tagged here  nestle purina petcare company  does not make the chic,https://t.co/1m3GSX1IbT,PaulMcC65499523,1
140,2023-02-01 04:45:39+00:00,Purina, hi  nestle purina petcare company does not make the chicken feed that has been mentioned in recent n,https://t.co/pN5DWIvV06,NewswithNudey,1
140,2023-02-01 04:36:50+00:00,Purina, hi  nestle purina petcare company does not make the chicken feed that has been mentioned in recent n,https://t.co/FrHISGUPAz,StallionsWyld,1
